Gmt time,Open,High,Low,Close,Volume
25.07.2020 00:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 01:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 02:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 03:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 04:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 05:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 06:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 07:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 08:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 09:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 10:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 11:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 12:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 13:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 14:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 15:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 16:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 17:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 18:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 19:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 20:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 21:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 22:00:00.000,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 23:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 00:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 01:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 02:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 03:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 04:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 05:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 06:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 07:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 08:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 09:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 10:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 11:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 12:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 13:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 14:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 15:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 16:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 17:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 18:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 19:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 20:00:00.000,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 21:00:00.000,1.16430,1.16457,1.16413,1.16445,276.52
26.07.2020 22:00:00.000,1.16445,1.16549,1.16429,1.16523,5036.98
26.07.2020 23:00:00.000,1.16525,1.16555,1.16421,1.16495,10755.5898
27.07.2020 00:00:00.000,1.16496,1.16984,1.16494,1.16886,11419.1201
27.07.2020 01:00:00.000,1.16885,1.16985,1.16852,1.16922,10692.54
27.07.2020 02:00:00.000,1.16924,1.17158,1.16895,1.17101,12110.1201
27.07.2020 03:00:00.000,1.17101,1.17250,1.17074,1.17106,10496.4297
27.07.2020 04:00:00.000,1.17106,1.17119,1.17000,1.17050,24927.25
27.07.2020 05:00:00.000,1.17051,1.17051,1.16951,1.17014,7671.4399
27.07.2020 06:00:00.000,1.17013,1.17168,1.17008,1.17088,18527.6699
27.07.2020 07:00:00.000,1.17088,1.17134,1.16895,1.16960,18540.8203
27.07.2020 08:00:00.000,1.16959,1.17117,1.16936,1.16953,16290.6699
27.07.2020 09:00:00.000,1.16953,1.17075,1.16818,1.17064,14614.9902
27.07.2020 10:00:00.000,1.17063,1.17329,1.17050,1.17263,13322.0303
27.07.2020 11:00:00.000,1.17263,1.17450,1.17176,1.17440,26691.3301
27.07.2020 12:00:00.000,1.17442,1.17642,1.17356,1.17390,18947.8691
27.07.2020 13:00:00.000,1.17390,1.17601,1.17280,1.17593,42890.9688
27.07.2020 14:00:00.000,1.17592,1.17782,1.17471,1.17772,19769.9297
27.07.2020 15:00:00.000,1.17770,1.17813,1.17494,1.17499,14759.1797
27.07.2020 16:00:00.000,1.17501,1.17576,1.17433,1.17449,21784.5195
27.07.2020 17:00:00.000,1.17448,1.17564,1.17448,1.17555,6045.6099
