Gmt time,Open,High,Low,Close,Volume
08.07.2020 00:00:00.000,1.12745,1.12825,1.12649,1.12689,4293.1401
08.07.2020 01:00:00.000,1.12689,1.12792,1.12682,1.12716,4795.8501
08.07.2020 02:00:00.000,1.12719,1.12796,1.12709,1.12786,3594.1399
08.07.2020 03:00:00.000,1.12786,1.12804,1.12758,1.12779,2748.77
08.07.2020 04:00:00.000,1.12779,1.12786,1.12736,1.12763,2219.96
08.07.2020 05:00:00.000,1.12764,1.12825,1.12734,1.12758,3203.3301
08.07.2020 06:00:00.000,1.12759,1.12775,1.12623,1.12761,8102.1201
08.07.2020 07:00:00.000,1.12759,1.12942,1.12724,1.12885,11429.6504
08.07.2020 08:00:00.000,1.12886,1.12937,1.12778,1.12786,9413.9805
08.07.2020 09:00:00.000,1.12787,1.12826,1.12659,1.12751,10392.6602
08.07.2020 10:00:00.000,1.12752,1.12835,1.12673,1.12821,7321.1201
08.07.2020 11:00:00.000,1.12822,1.12953,1.12760,1.12889,7821.04
08.07.2020 12:00:00.000,1.12890,1.12918,1.12780,1.12881,9826.6699
08.07.2020 13:00:00.000,1.12882,1.13337,1.12873,1.13295,15877.3203
08.07.2020 14:00:00.000,1.13295,1.13430,1.13251,1.13277,15944.9102
08.07.2020 15:00:00.000,1.13277,1.13298,1.13149,1.13280,11541.3799
08.07.2020 16:00:00.000,1.13280,1.13518,1.13263,1.13359,9099.9004
08.07.2020 17:00:00.000,1.13359,1.13421,1.13300,1.13341,5902.7402
08.07.2020 18:00:00.000,1.13340,1.13380,1.13328,1.13355,5931.7598
08.07.2020 19:00:00.000,1.13355,1.13365,1.13277,1.13322,5985.79
08.07.2020 20:00:00.000,1.13321,1.13338,1.13291,1.13293,2268.6399
08.07.2020 21:00:00.000,1.13292,1.13345,1.13263,1.13322,3977.79
08.07.2020 22:00:00.000,1.13320,1.13336,1.13294,1.13324,1025.6
08.07.2020 23:00:00.000,1.13323,1.13385,1.13317,1.13372,1108
09.07.2020 00:00:00.000,1.13372,1.13467,1.13329,1.13337,3400.8301
09.07.2020 01:00:00.000,1.13336,1.13391,1.13275,1.13380,5028.1899
09.07.2020 02:00:00.000,1.13380,1.13473,1.13355,1.13465,4809.9502
09.07.2020 03:00:00.000,1.13464,1.13639,1.13434,1.13622,3680.3
09.07.2020 04:00:00.000,1.13621,1.13706,1.13616,1.13649,4430.8501
09.07.2020 05:00:00.000,1.13650,1.13676,1.13584,1.13643,3528.22
09.07.2020 06:00:00.000,1.13644,1.13674,1.13544,1.13555,6419.25
09.07.2020 07:00:00.000,1.13555,1.13617,1.13251,1.13362,13971.9502
09.07.2020 08:00:00.000,1.13363,1.13453,1.13272,1.13292,10256.6504
09.07.2020 09:00:00.000,1.13292,1.13344,1.13199,1.13310,9308.0596
09.07.2020 10:00:00.000,1.13310,1.13322,1.13162,1.13222,8771.5703
09.07.2020 11:00:00.000,1.13224,1.13454,1.13211,1.13425,9045.3096
09.07.2020 12:00:00.000,1.13427,1.13486,1.13334,1.13436,9665.0703
09.07.2020 13:00:00.000,1.13434,1.13483,1.13216,1.13264,15113.9805
09.07.2020 14:00:00.000,1.13262,1.13382,1.12902,1.12953,26948.9199
09.07.2020 15:00:00.000,1.12953,1.13034,1.12853,1.12977,19634.6699
09.07.2020 16:00:00.000,1.12976,1.13041,1.12886,1.12905,12047.21
09.07.2020 17:00:00.000,1.12905,1.12947,1.12878,1.12922,13414.29
09.07.2020 18:00:00.000,1.12921,1.12973,1.12902,1.12969,4903.2002
09.07.2020 19:00:00.000,1.12971,1.12971,1.12842,1.12852,6097.2798
09.07.2020 20:00:00.000,1.12852,1.12866,1.12801,1.12846,2563.27
09.07.2020 21:00:00.000,1.12845,1.12852,1.12814,1.12837,366.385
09.07.2020 22:00:00.000,1.12837,1.12881,1.12837,1.12873,912.315
09.07.2020 23:00:00.000,1.12873,1.12901,1.12846,1.12879,1153.76
10.07.2020 00:00:00.000,1.12881,1.12889,1.12708,1.12752,4468.4399
10.07.2020 01:00:00.000,1.12752,1.12784,1.12709,1.12782,6202.98
10.07.2020 02:00:00.000,1.12782,1.12782,1.12693,1.12725,3561.48
10.07.2020 03:00:00.000,1.12726,1.12748,1.12712,1.12742,2787.71
10.07.2020 04:00:00.000,1.12741,1.12744,1.12679,1.12710,3409.96
10.07.2020 05:00:00.000,1.12710,1.12742,1.12630,1.12692,4559.23
10.07.2020 06:00:00.000,1.12694,1.12727,1.12579,1.12648,11167.4502
10.07.2020 07:00:00.000,1.12648,1.12808,1.12547,1.12789,14964.3799
10.07.2020 08:00:00.000,1.12789,1.12911,1.12779,1.12856,12110.5898
10.07.2020 09:00:00.000,1.12855,1.12947,1.12852,1.12909,12502.1699
10.07.2020 10:00:00.000,1.12909,1.12974,1.12906,1.12937,8098.54
10.07.2020 11:00:00.000,1.12940,1.13005,1.12850,1.12862,7521.3799
10.07.2020 12:00:00.000,1.12864,1.12939,1.12735,1.12931,10451.7695
10.07.2020 13:00:00.000,1.12930,1.13146,1.12930,1.13071,18712.4297
10.07.2020 14:00:00.000,1.13072,1.13247,1.13013,1.13195,18388.7109
10.07.2020 15:00:00.000,1.13195,1.13199,1.13093,1.13167,11328.96
10.07.2020 16:00:00.000,1.13166,1.13170,1.12969,1.12996,9077.6602
10.07.2020 17:00:00.000,1.12996,1.13059,1.12951,1.13056,5787.5498
10.07.2020 18:00:00.000,1.13056,1.13056,1.12981,1.12981,4911.2202
10.07.2020 19:00:00.000,1.12981,1.13027,1.12955,1.13004,5228.7202
10.07.2020 20:00:00.000,1.13003,1.13037,1.12949,1.12990,2893.3601
10.07.2020 21:00:00.000,1.12990,1.12990,1.12990,1.12990,0
10.07.2020 22:00:00.000,1.12990,1.12990,1.12990,1.12990,0
10.07.2020 23:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 00:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 01:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 02:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 03:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 04:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 05:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 06:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 07:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 08:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 09:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 10:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 11:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 12:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 13:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 14:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 15:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 16:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 17:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 18:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 19:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 20:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 21:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 22:00:00.000,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 23:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 00:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 01:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 02:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 03:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 04:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 05:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 06:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 07:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 08:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 09:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 10:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 11:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 12:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 13:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 14:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 15:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 16:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 17:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 18:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 19:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 20:00:00.000,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 21:00:00.000,1.13039,1.13055,1.13026,1.13039,146.44
12.07.2020 22:00:00.000,1.13039,1.13158,1.13039,1.13157,2546.2749
12.07.2020 23:00:00.000,1.13157,1.13173,1.13084,1.13085,3114.9099
13.07.2020 00:00:00.000,1.13086,1.13145,1.13036,1.13142,5139.2202
13.07.2020 01:00:00.000,1.13142,1.13242,1.13139,1.13194,7463.8101
13.07.2020 02:00:00.000,1.13193,1.13266,1.13184,1.13243,4629.8398
13.07.2020 03:00:00.000,1.13244,1.13303,1.13236,1.13266,4084.23
13.07.2020 04:00:00.000,1.13266,1.13277,1.13208,1.13223,3177.28
13.07.2020 05:00:00.000,1.13223,1.13360,1.13213,1.13291,5328.8599
13.07.2020 06:00:00.000,1.13290,1.13345,1.13234,1.13307,8433.9805
13.07.2020 07:00:00.000,1.13306,1.13325,1.13136,1.13183,14590.0098
13.07.2020 08:00:00.000,1.13185,1.13189,1.13008,1.13085,13508.2197
13.07.2020 09:00:00.000,1.13087,1.13203,1.13041,1.13190,44401.7891
13.07.2020 10:00:00.000,1.13190,1.13350,1.13189,1.13296,9649.2998
13.07.2020 11:00:00.000,1.13295,1.13383,1.13260,1.13342,10220.5801
13.07.2020 12:00:00.000,1.13343,1.13382,1.13240,1.13255,11577.3203
13.07.2020 13:00:00.000,1.13256,1.13578,1.13252,1.13531,13156.5898
13.07.2020 14:00:00.000,1.13532,1.13701,1.13521,1.13675,14977.9297
13.07.2020 15:00:00.000,1.13675,1.13709,1.13557,1.13641,14244.3301
13.07.2020 16:00:00.000,1.13641,1.13748,1.13574,1.13674,9077.6797
13.07.2020 17:00:00.000,1.13674,1.13746,1.13650,1.13695,7716
13.07.2020 18:00:00.000,1.13696,1.13703,1.13512,1.13526,12868.1104
13.07.2020 19:00:00.000,1.13526,1.13572,1.13428,1.13497,17451.1895
13.07.2020 20:00:00.000,1.13498,1.13498,1.13414,1.13435,3236.1499
13.07.2020 21:00:00.000,1.13431,1.13486,1.13417,1.13445,8400.25
13.07.2020 22:00:00.000,1.13447,1.13501,1.13442,1.13447,2392.5249
13.07.2020 23:00:00.000,1.13448,1.13502,1.13443,1.13447,2437.47
14.07.2020 00:00:00.000,1.13447,1.13482,1.13399,1.13449,4709.4102
14.07.2020 01:00:00.000,1.13450,1.13485,1.13373,1.13434,8009.1001
14.07.2020 02:00:00.000,1.13431,1.13464,1.13352,1.13387,5383.6099
14.07.2020 03:00:00.000,1.13387,1.13424,1.13384,1.13420,5222.7002
14.07.2020 04:00:00.000,1.13420,1.13453,1.13402,1.13448,3042.1499
14.07.2020 05:00:00.000,1.13448,1.13464,1.13377,1.13382,3669.04
